Pressure (bar),Altitude (m),Kz (cm2/s),LHF,qt,qc,ndz,rg (µm),reff (µm),rw (µm)
0.00119,398672.6101145761,67876509879.516205,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.001335,386797.2827996903,61130749718.53408,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.001495,400979.99472721765,56593915255.75146,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.00168,406004.7264327626,94553528714.25606,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.00189,399731.26337766607,269663327385.13498,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.00212,397377.1088279799,113354994924.59198,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.002375,405650.601917495,50066061578.659966,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.002665,407109.08294031734,102344187881.04535,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.00299,415291.76240832405,202232172526.34387,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.0033550000000000003,416129.7380927601,156408451133.5898,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.003765,414578.03032167826,68270441547.69564,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.004225,412207.50227034,42891271655.53633,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.004739999999999999,419268.59298669687,118540669325.55614,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.005315,428769.16015824454,265658928885.22134,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.005965,424727.76073917095,138438358646.00555,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.0066949999999999996,414194.9276213682,38095036840.963326,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.007509999999999999,403979.0028101149,35713022315.17995,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.008424999999999998,387450.7057365666,33204741487.244377,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.009455,365073.5478932435,30256619903.32865,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.0106,354566.984384804,27290870180.261597,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.0119,335041.148030078,24623962210.70491,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.01335,333606.3335498649,22423336061.645725,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.015,318033.84505687933,20631393990.76067,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.01685,312297.9329654731,19094516822.423725,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.0189,304868.5708744055,17885262411.107197,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.0212,298905.4094119313,16854412818.199121,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.02375,300960.18994739786,15929592412.168583,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.02665,291016.2721523744,15113265547.562382,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.029900000000000003,289361.18763759517,14129924706.665827,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.033549999999999996,290454.240920676,13271691388.00356,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.03765,295311.5350962957,56191536956.61197,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.042249999999999996,294895.67648715666,40100716567.178024,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.0474,296240.7968034467,13126602643.44872,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.05315,299282.2060169281,21983508459.835613,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.05965,295110.5474464306,11456384204.919155,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.0669,295186.8794561332,10980400227.849379,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.07505,293391.92031853844,10463374835.772852,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.08424999999999999,293466.08202012937,9962041985.499104,0.0,1.9995964724979468e-05,0.0,0.0,0.0,0.0,0.0
0.09455,292624.0472209079,17967335793.48937,0.020946541043691445,1.9995964724979468e-05,2.0117759985709514e-06,21.262746347346337,4.8961364528601146e-05,4.8961364528601146e-05,9.79106085485904e-05
0.1061,289287.14723478176,9220043257.37526,0.05004165558414904,2.062308761184424e-05,4.451534654607827e-06,41.8156282944457,5.287301614921673e-05,5.287301614921673e-05,0.00010572947743382058
0.119045,287154.98354207736,,,2.3350782841231277e-05,1.2776754886126267e-05,,,,1e-10
0.13357,288185.5129144555,,,3.198489558743256e-05,2.4958546147172812e-05,,,,1e-10
0.14987,290940.10648335074,,,5.007858283334639e-05,4.34907409961758e-05,,,,1e-10
0.16815999999999998,294024.32425948326,,,6.288440832414646e-05,5.4971234606001915e-05,,,,1e-10
0.18868000000000001,297761.1796732552,,,7.340230911584814e-05,6.341671617012055e-05,,,,1e-10
0.2117,302118.83084384224,,,8.566570545379942e-05,7.243844441184875e-05,,,,1e-10
0.23753000000000002,307221.1766899722,,,9.60129228520546e-05,7.750877879418714e-05,,,,1e-10
0.266515,311943.6253669947,,,0.00010655971781165412,7.932809947000004e-05,,,,1e-10
0.299035,317872.9558865904,,,0.0001153558810574409,7.614748608746894e-05,,,,1e-10
0.33552000000000004,326035.5467147178,,,0.00012600873169991362,6.687711312260811e-05,,,,1e-10
0.37646,333924.3818096515,,,0.00013206647034600828,2.632406237492978e-05,,,,1e-10
0.422395,340580.30278798676,47297162465.172005,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
0.473935,350250.06660420285,37915443248.33768,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
0.531765,363551.2621828785,67484236819.82038,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
0.5966499999999999,376035.85842367867,82154183824.61955,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
0.6694549999999999,672381.8269825769,65449406910.80914,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
0.7996,545541.5374256365,73936967878.68517,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
0.9456249999999999,621828.9908732936,100806342484.45738,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
1.1,658758.6628747352,82274407213.82803,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
1.2999999999999998,593438.300012631,83162757560.58122,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
1.5,542007.1125687374,83846115789.33536,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,500268.5624273268,84394927933.4148,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
1.9,465595.89317923447,84860408584.30908,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
2.1,436252.6531248683,85260049840.33386,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
2.3,411040.63615683187,85615110631.58795,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
2.5,389103.63829977566,85936032673.86656,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
2.7,369812.0208133168,86230860084.19873,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
2.9,352691.47369136004,86504795306.19136,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
3.1,337377.2394912536,86762266756.14133,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
3.3,323583.8200985031,87005535479.8912,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
3.5,311084.25671789394,87237477254.60025,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
3.7,299695.6167350536,87459352459.36813,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
3.9,289268.77635052835,87671564764.60359,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
4.1,279680.5750404304,87877954363.50159,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
4.300000000000001,270828.89118009043,88070794588.32317,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
4.5,262627.72899247566,88269446433.23541,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
4.699999999999999,255004.2167773082,88456231308.06676,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
4.9,247896.29721225036,88638077978.729,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
5.1,241250.70796302723,88814985147.5275,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
5.300000000000001,235021.45168999434,88987604553.85081,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
5.5,229168.58838711437,89155971014.65475,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
5.699999999999999,223657.24280212808,89320798966.22406,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
5.9,218456.8233490525,89481592304.85985,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
6.1,213540.38448965916,89638989967.99353,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
6.300000000000001,208884.06805755367,89793633256.79297,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
6.5,204639.47777233145,89944459255.8721,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
6.699999999999999,200512.73888499627,102812405169.33473,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
6.9,196497.53751354726,89489544072.6397,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
7.1,192672.3839252756,89677248163.48477,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
7.300000000000001,189023.3346121833,89844092152.4947,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
7.5,185537.87564965992,90011519227.23375,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
7.699999999999999,182204.657071436,90174864804.93004,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
7.9,179007.50669035286,90334484474.49069,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
8.099995,175951.91456202773,90494711500.47603,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
8.299990000000001,173020.20767193375,90642529831.9353,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
8.49999,170201.75743787235,90791671129.35846,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
8.69999,167492.3896132402,90937302115.64113,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
8.899989999999999,164885.54633935975,91080007050.25403,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
9.09999,162375.19954817306,91219661389.93329,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
9.299990000000001,159955.79492392397,91356682637.12071,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
9.49999,157622.2074332445,91490805591.39352,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
9.69999,155369.7008257147,91622374530.18498,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
9.899989999999999,153193.8919239454,91751523067.74242,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
10.09999,151090.6941684949,91878632901.47897,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
10.299990000000001,149056.35527260252,92000215688.57498,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
10.49999,147087.36282065336,92125040696.57835,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
10.69999,145180.3659315394,92245124878.06967,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
10.899989999999999,143332.41936578366,92350874769.9852,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
11.09999,141540.673693588,92478959678.92259,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
11.299990000000001,139802.43118425898,92593159160.02528,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
11.49999,138115.1927210427,92705793537.12804,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
11.69999,136476.62276854215,92815516269.74179,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
