P_bar,z_m,Kz_cm2_s,LHF,qt,qc,ndz_cm3,rg_cm,reff_cm,rw_cm
1.19000e-03,3.98673e+05,2.27784e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.33500e-03,3.86797e+05,2.05147e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.49500e-03,4.00980e+05,1.89922e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.68000e-03,4.06005e+05,3.17309e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.89000e-03,3.99731e+05,9.04954e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.12000e-03,3.97377e+05,3.80404e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.37500e-03,4.05651e+05,1.68015e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.66500e-03,4.07109e+05,3.43453e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.99000e-03,4.15292e+05,6.78664e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3.35500e-03,4.16130e+05,5.24886e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3.76500e-03,4.14578e+05,2.29106e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.22500e-03,4.12208e+05,1.43937e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.74000e-03,4.19269e+05,3.97806e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.31500e-03,4.28769e+05,8.91516e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.96500e-03,4.24728e+05,4.64580e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.69500e-03,4.14195e+05,1.27842e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
7.51000e-03,4.03979e+05,1.19848e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
8.42500e-03,3.87451e+05,1.11431e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
9.45500e-03,3.65074e+05,1.01537e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.06000e-02,3.54567e+05,9.15845e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.19000e-02,3.35041e+05,8.26347e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.33500e-02,3.33606e+05,7.52497e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.50000e-02,3.18034e+05,6.92362e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.68500e-02,3.12298e+05,6.40786e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.89000e-02,3.04869e+05,6.00205e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.12000e-02,2.98905e+05,5.65611e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.37500e-02,3.00960e+05,5.34576e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.66500e-02,2.91016e+05,5.07181e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.99000e-02,2.89361e+05,4.74181e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3.35500e-02,2.90454e+05,4.45380e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3.76500e-02,2.95312e+05,1.88571e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.22500e-02,2.94896e+05,1.34573e+13,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.74000e-02,2.96241e+05,4.40511e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.31500e-02,2.99282e+05,7.37737e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.96500e-02,2.95111e+05,3.84461e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.69000e-02,2.95187e+05,3.68487e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
7.50500e-02,2.93392e+05,3.51137e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
8.42500e-02,2.93466e+05,3.34313e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
9.45500e-02,2.92624e+05,6.02960e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.06100e-01,2.89287e+05,3.09412e+12,0.00000e+00,1.18583e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.19045e-01,2.87155e+05,,,1.18583e-05,1.28427e-06,,,,1.00000e-10
1.33570e-01,2.88186e+05,,,1.34227e-05,6.39631e-06,,,,1.00000e-10
1.49870e-01,2.90940e+05,,,2.31959e-05,1.66080e-05,,,,1.00000e-10
1.68160e-01,2.94024e+05,,,3.38035e-05,2.58904e-05,,,,1.00000e-10
1.88680e-01,2.97761e+05,,,4.43369e-05,3.43513e-05,,,,1.00000e-10
2.11700e-01,3.02119e+05,,,5.85043e-05,4.52771e-05,,,,1.00000e-10
2.37530e-01,3.07221e+05,,,7.21619e-05,5.36578e-05,,,,1.00000e-10
2.66515e-01,3.11944e+05,,,8.75053e-05,6.02737e-05,,,,1.00000e-10
2.99035e-01,3.17873e+05,,,1.01276e-04,6.20674e-05,,,,1.00000e-10
3.35520e-01,3.26036e+05,,,1.19266e-04,6.01343e-05,,,,1.00000e-10
3.76460e-01,3.33924e+05,,,1.30492e-04,2.47501e-05,,,,1.00000e-10
4.22395e-01,3.40580e+05,1.58723e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.73935e-01,3.50250e+05,1.27239e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.31765e-01,3.63551e+05,2.26468e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.96650e-01,3.76036e+05,2.75698e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.69455e-01,6.72382e+05,2.19639e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
7.99600e-01,5.45542e+05,2.48122e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
9.45625e-01,6.21829e+05,3.38292e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.10000e+00,6.58759e+05,2.76102e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.30000e+00,5.93438e+05,2.79083e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.50000e+00,5.42007e+05,2.81376e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.70000e+00,5.00269e+05,2.83218e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.90000e+00,4.65596e+05,2.84780e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.10000e+00,4.36253e+05,2.86121e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.30000e+00,4.11041e+05,2.87313e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.50000e+00,3.89104e+05,2.88390e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.70000e+00,3.69812e+05,2.89379e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
2.90000e+00,3.52691e+05,2.90298e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3.10000e+00,3.37377e+05,2.91162e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3.30000e+00,3.23584e+05,2.91979e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3.50000e+00,3.11084e+05,2.92757e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3.70000e+00,2.99696e+05,2.93502e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3.90000e+00,2.89269e+05,2.94214e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.10000e+00,2.79681e+05,2.94907e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.30000e+00,2.70829e+05,2.95554e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.50000e+00,2.62628e+05,2.96220e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.70000e+00,2.55004e+05,2.96847e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.90000e+00,2.47896e+05,2.97457e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.10000e+00,2.41251e+05,2.98051e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.30000e+00,2.35021e+05,2.98630e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.50000e+00,2.29169e+05,2.99195e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.70000e+00,2.23657e+05,2.99749e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5.90000e+00,2.18457e+05,3.00288e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.10000e+00,2.13540e+05,3.00816e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.30000e+00,2.08884e+05,3.01335e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.50000e+00,2.04639e+05,3.01841e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.70000e+00,2.00513e+05,3.45025e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6.90000e+00,1.96498e+05,3.00315e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
